Electrode,X,Y,Z,0,2,4,6,8,10,12,14,16,18,20
'E70',-3.125999928,-9.826000214,0.273000002,2374.731,2379.5442,2390.2781,2386.6892,2390.6951,2395.0862,2392.9551,2388.3184,2377.0806,2373.8569,2382.3555
'E71',-1.603999972,-9.631999969,3.740999937,-2371.4055,-2366.811,-2360.6694,-2361.3398,-2357.8779,-2358.2156,-2360.863,-2361.4417,-2366.2996,-2366.3665,-2363.2449
'E72',5.47E-16,-8.937999725,5.350999832,-257.72552,-256.48874,-255.46056,-255.35127,-253.4017,-252.55978,-253.25021,-253.18315,-252.66907,-254.55406,-255.4978
'E73',-2.203000069,-8.557999611,-5.863999844,-2232.9417,-2220.874,-2210.3315,-2216.2026,-2207.9473,-2206.6038,-2210.6692,-2218.7185,-2229.5764,-2227.2717,-2216.2124
'E74',-1.284999967,-9.652000427,-3.005000114,-1745.3483,-1740.2024,-1729.7988,-1734.3438,-1727.9486,-1725.9519,-1732.1682,-1736.9763,-1745.845,-1746.744,-1737.0756
'E75',6.29E-16,-10.27000046,0.556999981,1247.0533,1249.825,1259.6498,1257.5736,1259.9529,1262.496,1257.9635,1253.6099,1246.4797,1243.42,1249.3506
'E76',1.603999972,-9.631999969,3.740999937,-1050.7083,-1047.3629,-1043.9033,-1041.9191,-1038.8246,-1040.5829,-1042.7113,-1044.8372,-1047.6436,-1048.3241,-1045.6418
'E77',2.105999947,-8.395000458,5.962999821,-5391.5186,-5391.521,-5393.0161,-5393.5649,-5391.5059,-5392.7505,-5393.0981,-5390.3687,-5390.4702,-5389.9414,-5393.8555
'E78',2.677000046,-6.256999969,8.05700016,-2640.5454,-2647.9663,-2658.792,-2654.5847,-2654.1948,-2654.4929,-2645.2344,-2638.0918,-2637.1182,-2644.5911,-2656.7429
'E79',2.592000008,-3.898000002,9.366000175,-5558.7217,-5563.6367,-5567.2354,-5565.8247,-5566.5078,-5564.8389,-5560.4282,-5559.5537,-5559.0571,-5563.6196,-5570.0718
'E80',2.232000113,-0.781000018,9.777000427,1778.7268,1780.4827,1781.7418,1781.2103,1782.1689,1781.8188,1779.8171,1777.6589,1776.2036,1776.4221,1778.4188
'E81',5.49E-16,-8.970999718,-5.644999981,-3384.4363,-3378.6746,-3368.9441,-3371.0698,-3364.4612,-3366.073,-3374.5867,-3378.1406,-3380.7283,-3382.072,-3376.8889
'E82',1.284999967,-9.652000427,-3.005000114,154.4108,157.3811,165.77791,162.89453,168.85997,168.24405,157.17497,153.71045,151.07294,151.05804,157.93245
'E83',3.125999928,-9.826000214,0.273000002,96.594299,97.083549,102.12511,102.27412,102.48274,104.50681,100.35684,96.149742,88.714066,90.345741,97.744171
